underlying_id,settlement_date,open_price,high_price,low_price,settle_price,last_price
BO H6,2016-01-05,29.76,29.84,29.34,29.78,29.78
BO H6,2016-01-28,30.71,30.92,30.47,30.88,30.88
BO H6,2016-02-02,30.75,31.13,30.7,30.98,30.98
BO K6,2016-01-05,30.01,30.04,29.57,30.01,30.01
BO K6,2016-01-28,30.93,31.14,30.68,31.09,31.09
BO K6,2016-02-02,30.97,31.33,30.92,31.2,31.2
BO K6,2016-03-28,33.62,34.14,33.51,30.645,34.05
BO K6,2016-03-29,33.62,34.14,33.51,30.655,34.05
BO N6,2016-05-26,31,31.57,30.91,31.48,31.48
BO N6,2016-05-29,31,31.57,30.91,31.48,31.48
BO N6,2016-05-30,31.48,31.94,31.42,31.82,31.82
BO N6,2016-05-31,31.78,32.46,31.5,32.19,32.19
BO N6,2016-06-01,32.14,32.63,32.14,32.26,32.26
BO N6,2016-06-02,32.25,32.67,32.12,32.26,32.26
BO N6,2016-06-05,32.41,32.65,32.34,32.51,32.51
BO N6,2016-06-06,32.54,32.78,31.85,32.29,32.29
BO N6,2016-06-07,32.34,33.19,32.19,32.89,32.89
BO N6,2016-06-08,32.84,33.23,32.63,33.03,33.03
BO N6,2016-06-09,33.03,33.33,32.74,32.76,32.76
BO N6,2016-06-12,32.91,33.16,32.33,32.51,32.51
BO N6,2016-06-13,32.51,32.56,32.18,32.52,32.52
BO N6,2016-06-14,32.52,32.56,31.8,31.96,31.96
BO N6,2016-06-15,32.04,32.09,31.06,31.16,31.16
BO N6,2016-06-16,31.21,32.08,31.12,31.93,31.93
BO N6,2016-06-19,31.82,31.92,31.55,31.64,31.64
BO N6,2016-06-20,31.76,31.95,31.33,31.36,31.36
BO N6,2016-06-21,31.43,31.86,31.36,31.55,31.55
BO N6,2016-06-22,31.55,31.84,31.26,31.75,31.75
BO N6,2016-06-23,31.74,31.75,30.93,30.99,30.99
BO Q6,2016-05-26,31.08,31.69,31.05,31.61,31.61
BO Q6,2016-05-29,31.08,31.69,31.05,31.61,31.61
BO Q6,2016-05-30,31.58,32.04,31.55,31.94,31.94
BO Q6,2016-05-31,31.9,32.56,31.62,32.3,32.3
BO Q6,2016-06-01,32.3,32.73,32.3,32.37,32.37
BO Q6,2016-06-02,32.37,32.77,32.25,32.38,32.38
BO Q6,2016-06-05,32.43,32.77,32.43,32.63,32.63
BO Q6,2016-06-06,32.64,32.9,31.97,32.42,32.42
BO Q6,2016-06-07,32.46,33.3,32.34,33.02,33.02
BO Q6,2016-06-08,32.95,33.36,32.79,33.17,33.17
BO Q6,2016-06-09,33.16,33.47,32.87,32.9,32.9
BO Q6,2016-06-12,33.09,33.29,32.5,32.65,32.65
BO Q6,2016-06-13,32.62,32.74,32.32,32.67,32.67
BO Q6,2016-06-14,32.65,32.7,31.94,32.1,32.1
BO Q6,2016-06-15,32.16,32.23,31.2,31.3,31.3
BO Q6,2016-06-16,31.35,32.21,31.27,32.06,32.06
BO Q6,2016-06-19,31.94,32.04,31.68,31.78,31.78
BO Q6,2016-06-20,31.8,32.08,31.47,31.5,31.5
BO Q6,2016-06-21,31.53,32,31.5,31.69,31.69
BO Q6,2016-06-22,31.77,31.98,31.4,31.9,31.9
BO Q6,2016-06-23,31.9,31.9,31.07,31.13,31.13
BO Q6,2016-06-26,31.24,31.64,31.13,31.4,31.4
BO Q6,2016-06-27,31.4,31.92,31.22,31.25,31.25
BO Q6,2016-06-28,31.15,31.44,30.9,30.98,30.98
BO Q6,2016-06-29,30.98,31.87,30.91,31.53,31.53
BO Q6,2016-06-30,31.53,31.95,31.12,31.18,31.18
BO Q6,2016-07-03,31.53,31.95,31.12,31.18,31.18
BO Q6,2016-07-04,31.33,31.52,30.64,30.95,30.95
BO Q6,2016-07-05,30.87,30.91,30.15,30.36,30.36
BO Q6,2016-07-06,30.39,30.71,29.74,29.79,29.79
BO Q6,2016-07-07,29.86,30.54,29.72,30.35,30.35
BO Q6,2016-07-10,30.35,30.8,30.28,30.33,30.33
BO Q6,2016-07-11,30.33,30.9,30.05,30.81,30.81
BO Q6,2016-07-12,30.81,31.31,30.66,30.73,30.73
BO Q6,2016-07-13,30.68,31.3,30.57,30.67,30.67
BO Q6,2016-07-14,30.67,31.1,30.15,30.89,30.89
BO Q6,2016-07-17,30.65,31.15,30.35,30.94,30.94
BO Q6,2016-07-18,30.95,31,30.6,30.66,30.66
BO Q6,2016-07-19,30.71,31.28,30.47,30.71,30.71
BO Q6,2016-07-20,30.71,31.17,30.57,31.06,31.06
BO Q6,2016-07-21,31.13,31.24,30.1,30.21,30.21
BO U6,2016-06-12,33.15,33.42,32.61,32.79,32.79
BO U6,2016-06-13,32.72,32.85,32.46,32.81,32.81
BO U6,2016-06-14,32.72,32.83,32.08,32.24,32.24
BO U6,2016-06-15,32.24,32.24,31.35,31.44,31.44
BO U6,2016-06-16,31.47,32.35,31.42,32.19,32.19
BO U6,2016-06-19,32.15,32.17,31.81,31.91,31.91
BO U6,2016-06-20,31.93,32.21,31.6,31.64,31.64
BO U6,2016-06-21,31.64,32.13,31.64,31.84,31.84
BO U6,2016-06-22,31.86,32.12,31.55,32.04,32.04
BO U6,2016-06-23,32.02,32.02,31.2,31.27,31.27
BO U6,2016-06-26,31.32,31.77,31.28,31.53,31.53
BO U6,2016-06-27,31.55,32.06,31.35,31.39,31.39
BO U6,2016-06-28,31.33,31.54,31.03,31.11,31.11
BO U6,2016-06-29,31.11,32.04,31.05,31.66,31.66
BO U6,2016-06-30,31.66,32.09,31.26,31.3,31.3
BO U6,2016-07-03,31.66,32.09,31.26,31.3,31.3
BO U6,2016-07-04,31.32,31.64,30.76,31.05,31.05
BO U6,2016-07-05,30.8,31.01,30.24,30.47,30.47
BO U6,2016-07-06,30.54,30.83,29.82,29.9,29.9
BO U6,2016-07-07,29.95,30.65,29.84,30.46,30.46
BO U6,2016-07-10,30.49,30.91,30.4,30.44,30.44
BO U6,2016-07-11,30.5,31.02,30.2,30.94,30.94
BO U6,2016-07-12,30.95,31.42,30.79,30.86,30.86
BO U6,2016-07-13,30.87,31.45,30.71,30.8,30.8
BO U6,2016-07-14,30.8,31.23,30.28,31.02,31.02
BO U6,2016-07-17,30.79,31.28,30.56,31.06,31.06
BO U6,2016-07-18,31.08,31.11,30.72,30.78,30.78
BO U6,2016-07-19,30.87,31.42,30.61,30.84,30.84
BO U6,2016-07-20,30.84,31.32,30.65,31.19,31.19
BO U6,2016-07-21,31.29,31.38,30.21,30.31,30.31
BO U6,2016-07-24,30.29,30.51,29.52,29.57,29.57
BO U6,2016-07-25,29.59,30.01,29.57,29.68,29.68
BO U6,2016-07-26,29.69,30,29.52,29.66,29.66
BO U6,2016-07-27,29.64,29.93,29.41,29.64,29.64
BO U6,2016-07-28,29.74,30.57,29.53,30.48,30.48
BO U6,2016-07-31,30.38,30.5,29.71,29.87,29.87
BO U6,2016-08-01,29.87,30.39,29.72,30.18,30.18
BO U6,2016-08-02,30.12,30.87,30.04,30.42,30.42
BO U6,2016-08-03,30.43,30.95,30.26,30.64,30.64
BO U6,2016-08-04,30.74,30.83,30.33,30.62,30.62
BO U6,2016-08-07,30.68,31.16,30.6,31.01,31.01
BO U6,2016-08-08,31.01,31.5,31,31.24,31.24
BO U6,2016-08-09,31.29,31.8,31.2,31.57,31.57
BO U6,2016-08-10,31.59,31.99,31.22,31.79,31.79
BO U6,2016-08-11,31.74,32.26,31.5,32.03,32.03
BO U6,2016-08-14,32.03,33.47,31.91,33.21,33.21
BO U6,2016-08-15,33.16,33.52,32.91,33.38,33.38
BO U6,2016-08-16,33.39,34.3,33.19,34.01,34.01
BO U6,2016-08-17,34.05,34.26,33.54,34.19,34.19
BO U6,2016-08-18,34.19,34.2,33.63,34.14,34.14
BO U6,2016-08-21,34.14,34.14,33.44,33.89,33.89
BO U6,2016-08-22,33.86,34.41,33.56,33.89,33.89
BO U6,2016-08-23,33.98,34.12,33.26,33.57,33.57
BO U6,2016-08-24,33.52,33.6,32.79,32.91,32.91
BO U6,2016-08-25,32.93,33.18,32.58,32.95,32.95
BO Z6,2016-09-13,31.83,31.99,31.63,31.86,31.86
BO Z6,2016-09-14,31.94,32.46,31.77,32.28,32.28
BO Z6,2016-09-15,32.33,32.55,32.18,32.23,32.23
BO Z6,2016-09-18,32.31,33.37,32.23,33.08,33.08
BO Z6,2016-09-19,33.07,34.2,32.97,34.09,34.09
BO Z6,2016-09-20,34.09,34.11,33.62,33.66,33.66
BO Z6,2016-09-21,33.69,34.29,33.67,34.21,34.21
BO Z6,2016-09-22,34.2,34.27,33.55,33.56,33.56
BO Z6,2016-09-25,33.52,33.94,33.23,33.35,33.35
BO Z6,2016-09-26,33.37,33.49,32.9,33.35,33.35
BO Z6,2016-09-27,33.37,33.37,32.67,32.89,32.89
BO Z6,2016-09-28,32.97,33.35,32.89,33.34,33.34
BO Z6,2016-09-29,33.32,33.75,33,33.44,33.44
BO Z6,2016-10-02,33.31,33.35,32.73,33.24,33.24
BO Z6,2016-10-03,33.3,33.3,32.78,33.1,33.1
BO Z6,2016-10-04,33.16,33.2,32.5,32.84,32.84
BO Z6,2016-10-05,32.77,33.35,32.65,33.3,33.3
BO Z6,2016-10-06,33.4,33.47,33.05,33.31,33.31
BO Z6,2016-10-09,33.46,34.04,33.09,33.82,33.82
BO Z6,2016-10-10,33.95,34.09,33.31,33.35,33.35
BO Z6,2016-10-11,33.43,33.91,33.28,33.34,33.34
BO Z6,2016-10-12,33.41,33.62,32.88,33.38,33.38
BO Z6,2016-10-13,33.48,34.6,33.33,34.38,34.38
BO Z6,2016-10-16,34.47,35.57,34.44,35.44,35.44
BO Z6,2016-10-17,35.41,35.69,34.92,35.07,35.07
BO Z6,2016-10-18,35.34,35.6,34.97,35.4,35.4
BO Z6,2016-10-19,35.47,35.63,34.9,35.05,35.05
BO Z6,2016-10-20,35.11,35.26,34.66,35.12,35.12
BO Z6,2016-10-23,35.2,36.23,35.05,35.99,35.99
BO Z6,2016-10-24,36.17,36.2,35.62,35.8,35.8
BO Z6,2016-10-25,35.82,36.04,35.64,35.72,35.72
BO Z6,2016-10-26,35.68,35.9,35.08,35.11,35.11
BO Z6,2016-10-27,35.03,35.69,35.01,35.41,35.41
BO Z6,2016-10-30,35.45,35.48,35.07,35.17,35.17
BO Z6,2016-10-31,35.21,35.39,34.72,34.85,34.85
BO Z6,2016-11-01,34.85,35.05,34.56,34.98,34.98
BO Z6,2016-11-02,34.98,35.25,34.82,35.1,35.1
BO Z6,2016-11-03,35.09,35.13,34.51,34.71,34.71
BO Z6,2016-11-06,34.61,34.99,34.53,34.79,34.79
BO Z6,2016-11-07,34.9,35.55,34.82,35.31,35.31
BO Z6,2016-11-08,35.2,35.41,34.27,34.31,34.31
BO Z6,2016-11-09,34.44,35.06,34.33,34.77,34.77
BO Z6,2016-11-10,34.77,35.72,34.1,34.44,34.44
BO Z6,2016-11-13,34.43,34.65,33.75,33.95,33.95
BO Z6,2016-11-14,34,34.25,33.81,34.21,34.21
BO Z6,2016-11-15,34.29,34.68,33.93,34.1,34.1
BO Z6,2016-11-16,34.05,34.32,33.59,33.7,33.7
BO Z6,2016-11-17,33.65,34.3,33.45,34.05,34.05
BO Z6,2016-11-20,34.16,34.75,34.1,34.64,34.64
BO Z6,2016-11-21,34.64,34.9,34.4,34.48,34.48
BO Z6,2016-11-22,34.59,36.98,34.11,36.85,36.85
BO Z6,2016-11-23,34.59,36.98,34.11,36.85,36.85
BO Z6,2016-11-24,36.75,36.89,36.3,36.66,36.66
C  H6,2016-01-05,353.5,354.75,350.25,353.25,353.25
C  H6,2016-01-28,365.25,372.5,365,372,372
C  H6,2016-02-02,372,373.25,370.25,371,371
C  K6,2016-01-05,359,360,355.5,358.5,358.5
C  K6,2016-01-28,370.25,377.25,370,376.75,376.75
C  K6,2016-02-02,377,378.25,375,376,376
C  K6,2016-03-28,370.5,373,368.5,335.7,373
C  K6,2016-03-29,370.5,373,368.5,335.7,373
C  K7,2017-02-22,377.5,379,372.25,372.5,372.5
C  K7,2017-02-23,372.5,373.5,369.25,370.75,370.75
C  K7,2017-02-26,371,372.5,367.25,368.25,368.25
C  K7,2017-02-27,368.75,386.25,368.5,373.75,373.75
C  K7,2017-02-28,373,382.25,372.25,382,382
C  K7,2017-03-01,381.5,382.25,376.75,379.5,379.5
C  K7,2017-03-02,378,381.75,377.5,380.75,380.75
C  K7,2017-03-05,380.5,383,376.5,378.5,378.5
C  K7,2017-03-06,378.5,379.75,373.25,376,376
C  K7,2017-03-07,376,376.5,371.75,372.25,372.25
C  K7,2017-03-08,372.75,374,366,367,367
C  K7,2017-03-09,367.25,367.75,362.5,364.25,364.25
C  K7,2017-03-12,364,365,360.5,361,361
C  K7,2017-03-13,361,364.5,360,362.25,362.25
C  K7,2017-03-14,362.25,364.75,362,363.5,363.5
C  K7,2017-03-15,363.5,367,363.5,366,366
C  K7,2017-03-16,366.25,367.75,364.5,367.5,367.5
C  N6,2016-01-28,375,382,375,381.5,381.5
C  N6,2016-02-02,382,383,380,381.25,381.25
C  N6,2016-03-28,374.5,377.25,372.75,414.975,377.25
C  N6,2016-03-29,374.5,377.25,372.75,414.975,377.25
