underlying_id,valuedate,settle_value,ticker
BO  Q4,1-Aug-14,35.45,BOQ14 Comdty
BO  Z4,1-Aug-14,35.71,BOZ14 Comdty
BO  V4,1-Aug-14,35.58,BOV14 Comdty
BO  F5,1-Aug-14,35.82,BOF15 Comdty
BO  Z5,1-Aug-14,36.36,BOZ5 Comdty
BO  U5,1-Aug-14,36.41,BOU15 Comdty
BO  V7,1-Aug-14,37.12,BOV7 Comdty
BO  Z6,1-Aug-14,37.12,BOZ6 Comdty
BO  Q5,1-Aug-14,36.41,BOQ15 Comdty
BO  V6,1-Aug-14,37.18,BOV6 Comdty
BO  V5,1-Aug-14,36.3,BOV15 Comdty
BO  U6,1-Aug-14,37.18,BOU6 Comdty
BO  H5,1-Aug-14,36.02,BOH15 Comdty
BO  K6,1-Aug-14,36.91,BOK6 Comdty
BO  U4,1-Aug-14,35.54,BOU14 Comdty
BO  Q6,1-Aug-14,37.11,BOQ6 Comdty
BO  F6,1-Aug-14,36.51,BOF16 Comdty
BO  K5,1-Aug-14,36.19,BOK15 Comdty
BO  N5,1-Aug-14,36.35,BON15 Comdty
BO  H6,1-Aug-14,36.74,BOH6 Comdty
BO  N7,1-Aug-14,37.12,BON7 Comdty
BO  Z7,1-Aug-14,37.12,BOZ7 Comdty
BO  N6,1-Aug-14,37.16,BON6 Comdty
BO  Z4,4-Aug-14,36.4,BOZ14 Comdty
BO  V4,4-Aug-14,36.2,BOV14 Comdty
BO  Q4,4-Aug-14,36.02,BOQ14 Comdty
BO  Z5,4-Aug-14,37.07,BOZ5 Comdty
BO  Q5,4-Aug-14,37.1,BOQ15 Comdty
BO  N6,4-Aug-14,37.81,BON6 Comdty
BO  F5,4-Aug-14,36.58,BOF15 Comdty
BO  K6,4-Aug-14,37.62,BOK6 Comdty
BO  U4,4-Aug-14,36.12,BOU14 Comdty
BO  Q6,4-Aug-14,37.79,BOQ6 Comdty
BO  Z7,4-Aug-14,37.78,BOZ7 Comdty
BO  U5,4-Aug-14,37.13,BOU15 Comdty
BO  U6,4-Aug-14,37.84,BOU6 Comdty
BO  N5,4-Aug-14,37.03,BON15 Comdty
BO  K5,4-Aug-14,36.89,BOK15 Comdty
BO  Z6,4-Aug-14,37.78,BOZ6 Comdty
BO  H5,4-Aug-14,36.76,BOH15 Comdty
BO  V7,4-Aug-14,37.78,BOV7 Comdty
BO  F6,4-Aug-14,37.2,BOF16 Comdty
BO  H6,4-Aug-14,37.42,BOH6 Comdty
BO  N7,4-Aug-14,37.78,BON7 Comdty
BO  V5,4-Aug-14,37.02,BOV15 Comdty
BO  V6,4-Aug-14,37.84,BOV6 Comdty
BO  Z4,5-Aug-14,35.87,BOZ14 Comdty
BO  Z5,5-Aug-14,36.58,BOZ5 Comdty
BO  Q6,5-Aug-14,37.37,BOQ6 Comdty
BO  V4,5-Aug-14,35.66,BOV14 Comdty
BO  K5,5-Aug-14,36.37,BOK15 Comdty
BO  Q4,5-Aug-14,35.47,BOQ14 Comdty
BO  Q5,5-Aug-14,36.6,BOQ15 Comdty
BO  N6,5-Aug-14,37.36,BON6 Comdty
BO  V5,5-Aug-14,36.45,BOV15 Comdty
BO  K6,5-Aug-14,37.13,BOK6 Comdty
BO  U6,5-Aug-14,37.39,BOU6 Comdty
BO  U5,5-Aug-14,36.61,BOU15 Comdty
BO  N5,5-Aug-14,36.52,BON15 Comdty
BO  N7,5-Aug-14,37.34,BON7 Comdty
BO  U4,5-Aug-14,35.57,BOU14 Comdty
BO  Z6,5-Aug-14,37.34,BOZ6 Comdty
BO  H6,5-Aug-14,36.94,BOH6 Comdty
BO  V6,5-Aug-14,37.39,BOV6 Comdty
BO  F5,5-Aug-14,36.05,BOF15 Comdty
BO  V7,5-Aug-14,37.34,BOV7 Comdty
BO  H5,5-Aug-14,36.22,BOH15 Comdty
BO  F6,5-Aug-14,36.72,BOF16 Comdty
BO  Z7,5-Aug-14,37.34,BOZ7 Comdty
BO  Z4,6-Aug-14,36.2,BOZ14 Comdty
BO  Z5,6-Aug-14,36.98,BOZ5 Comdty
BO  V4,6-Aug-14,35.96,BOV14 Comdty
BO  Q4,6-Aug-14,35.79,BOQ14 Comdty
BO  N6,6-Aug-14,37.75,BON6 Comdty
BO  N5,6-Aug-14,36.93,BON15 Comdty
BO  V7,6-Aug-14,37.71,BOV7 Comdty
BO  F5,6-Aug-14,36.39,BOF15 Comdty
BO  H5,6-Aug-14,36.62,BOH15 Comdty
BO  U4,6-Aug-14,35.86,BOU14 Comdty
BO  K5,6-Aug-14,36.78,BOK15 Comdty
BO  Q5,6-Aug-14,36.99,BOQ15 Comdty
BO  U5,6-Aug-14,36.97,BOU15 Comdty
BO  N7,6-Aug-14,37.71,BON7 Comdty
BO  V5,6-Aug-14,36.87,BOV15 Comdty
BO  K6,6-Aug-14,37.53,BOK6 Comdty
BO  Q6,6-Aug-14,37.72,BOQ6 Comdty
BO  V6,6-Aug-14,37.76,BOV6 Comdty
BO  Z6,6-Aug-14,37.71,BOZ6 Comdty
BO  H6,6-Aug-14,37.33,BOH6 Comdty
BO  Z7,6-Aug-14,37.71,BOZ7 Comdty
BO  U6,6-Aug-14,37.76,BOU6 Comdty
BO  F6,6-Aug-14,37.1,BOF16 Comdty
BO  V4,7-Aug-14,35.79,BOV14 Comdty
BO  Z4,7-Aug-14,36.05,BOZ14 Comdty
BO  Z5,7-Aug-14,36.91,BOZ5 Comdty
BO  V7,7-Aug-14,37.65,BOV7 Comdty
BO  Q4,7-Aug-14,35.62,BOQ14 Comdty
BO  N6,7-Aug-14,37.68,BON6 Comdty
BO  Q6,7-Aug-14,37.65,BOQ6 Comdty
BO  K6,7-Aug-14,37.46,BOK6 Comdty
BO  U4,7-Aug-14,35.7,BOU14 Comdty
BO  U5,7-Aug-14,36.85,BOU15 Comdty
BO  H5,7-Aug-14,36.52,BOH15 Comdty
BO  N5,7-Aug-14,36.85,BON15 Comdty
BO  H6,7-Aug-14,37.27,BOH6 Comdty
BO  V5,7-Aug-14,36.76,BOV15 Comdty
BO  N7,7-Aug-14,37.65,BON7 Comdty
BO  F5,7-Aug-14,36.28,BOF15 Comdty
BO  K5,7-Aug-14,36.71,BOK15 Comdty
BO  Q5,7-Aug-14,36.91,BOQ15 Comdty
BO  V6,7-Aug-14,37.7,BOV6 Comdty
BO  Z7,7-Aug-14,37.65,BOZ7 Comdty
BO  U6,7-Aug-14,37.7,BOU6 Comdty
BO  F6,7-Aug-14,37.05,BOF16 Comdty
BO  Z6,7-Aug-14,37.65,BOZ6 Comdty
BO  Q4,8-Aug-14,35.44,BOQ14 Comdty
BO  Z5,8-Aug-14,36.87,BOZ5 Comdty
BO  V7,8-Aug-14,37.65,BOV7 Comdty
BO  V4,8-Aug-14,35.61,BOV14 Comdty
BO  Q5,8-Aug-14,36.83,BOQ15 Comdty
BO  Z4,8-Aug-14,35.87,BOZ14 Comdty
BO  F5,8-Aug-14,36.1,BOF15 Comdty
BO  N5,8-Aug-14,36.77,BON15 Comdty
BO  K5,8-Aug-14,36.61,BOK15 Comdty
BO  U5,8-Aug-14,36.81,BOU15 Comdty
BO  U4,8-Aug-14,35.52,BOU14 Comdty
BO  Z6,8-Aug-14,37.65,BOZ6 Comdty
BO  H5,8-Aug-14,36.38,BOH15 Comdty
BO  V6,8-Aug-14,37.7,BOV6 Comdty
BO  V5,8-Aug-14,36.76,BOV15 Comdty
BO  Z7,8-Aug-14,37.65,BOZ7 Comdty
BO  F6,8-Aug-14,36.96,BOF16 Comdty
BO  U6,8-Aug-14,37.7,BOU6 Comdty
BO  H6,8-Aug-14,37.21,BOH6 Comdty
BO  N6,8-Aug-14,37.64,BON6 Comdty
BO  N7,8-Aug-14,37.65,BON7 Comdty
BO  K6,8-Aug-14,37.42,BOK6 Comdty
BO  Q6,8-Aug-14,37.61,BOQ6 Comdty
BO  K6,11-Aug-14,37.06,BOK6 Comdty
BO  Z4,11-Aug-14,35.21,BOZ14 Comdty
BO  Z5,11-Aug-14,36.37,BOZ5 Comdty
BO  V4,11-Aug-14,34.99,BOV14 Comdty
BO  N6,11-Aug-14,37.28,BON6 Comdty
BO  Q4,11-Aug-14,34.88,BOQ14 Comdty
BO  Q6,11-Aug-14,37.12,BOQ6 Comdty
