year,option Month,product,vol_id,expiry_date,opmth
13,F,W,F13.H13,2013-12-27,F3
14,F,W,F14.H14,2014-12-26,F4
15,F,W,F15.H15,2015-12-24,F5
16,F,W,F16.H16,2016-12-23,F6
11,F,W,F11.H11,2011-12-23,F1
11,F,SM,F11.F11,2011-12-23,F1
12,F,SM,F12.F12,2012-12-21,F2
13,F,SM,F13.F13,2013-12-27,F3
14,F,SM,F14.F14,2014-12-26,F4
15,F,SM,F15.F15,2015-12-24,F5
16,F,SM,F16.F16,2016-12-23,F6
17,F,SM,F17.F17,2017-12-22,F7
11,F,SB,F11.H11,2011-12-15,F1
12,F,SB,F12.H12,2012-12-17,F2
13,F,SB,F13.H13,2013-12-16,F3
14,F,SB,F14.H14,2014-12-15,F4
15,F,SB,F15.H15,2015-12-15,F5
16,F,SB,F16.H16,2016-12-15,F6
17,F,SB,F17.H17,2017-12-15,F7
18,F,SB,F18.H18,2018-12-17,F8
17,F,S,F17.F17,2017-12-22,F7
11,F,S,F11.F11,2011-12-23,F1
12,F,S,F12.F12,2012-12-21,F2
13,F,S,F13.F13,2013-12-27,F3
14,F,S,F14.F14,2014-12-26,F4
15,F,S,F15.F15,2015-12-24,F5
16,F,S,F16.F16,2016-12-23,F6
18,F,LH,F18.G18,2018-01-20,F8
11,F,LC,F11.G11,2011-01-07,F1
12,F,LC,F12.G12,2012-01-06,F2
13,F,LC,F13.G13,2013-01-04,F3
14,F,LC,F14.G14,2014-01-03,F4
15,F,LC,F15.G15,2015-01-02,F5
15,F,LC,F15.G15,2015-12-31,F5
17,F,LC,F17.G17,2017-01-06,F7
11,F,KC,F11.H11,2011-12-09,F1
12,F,KC,F12.H12,2012-12-14,F2
13,F,KC,F13.H13,2013-12-13,F3
14,F,KC,F14.H14,2014-12-12,F4
15,F,KC,F15.H15,2015-12-11,F5
16,F,KC,F16.H16,2016-12-09,F6
11,F,DF,F11.F11,2011-12-21,F1
12,F,DF,F12.F12,2012-12-19,F2
13,F,DF,F13.F13,2013-12-18,F3
14,F,DF,F14.F14,2014-12-17,F4
15,F,DF,F15.F15,2015-12-16,F5
16,F,DF,F16.F16,2016-12-21,F6
17,F,DF,F17.F17,2017-12-20,F7
11,F,CT,F11.H11,2011-12-16,F1
12,F,CT,F12.H12,2012-12-21,F2
13,F,CT,F13.H13,2013-12-20,F3
14,F,CT,F14.H14,2014-12-19,F4
