pdt,value_date,underlying_id,order,settle_value,returns,expdate
C,2017-01-01,C  K7,1,357.5,0.0,2017-04-21
C,2017-01-02,C  K7,1,357.5,0.011126679464757053,2017-04-21
C,2017-01-03,C  K7,1,361.5,0.011687998301414272,2017-04-21
C,2017-01-04,C  K7,1,365.75,0.0047732787526575905,2017-04-21
C,2017-01-05,C  K7,1,367.5,-0.007511131249996392,2017-04-21
C,2017-01-08,C  K7,1,364.75,0.006149660651675329,2017-04-21
C,2017-01-09,C  K7,1,367.0,-0.004779797423761451,2017-04-21
C,2017-01-10,C  K7,1,365.25,-0.0034281829940681612,2017-04-21
C,2017-01-11,C  K7,1,364.0,0.00205831976615436,2017-04-21
C,2017-01-12,C  K7,1,364.75,0.0020540917869382694,2017-04-21
C,2017-01-15,C  K7,1,365.5,0.0,2017-04-21
C,2017-01-16,C  K7,1,365.5,0.019641674455014652,2017-04-21
C,2017-01-17,C  K7,1,372.75,-0.0013422820807294047,2017-04-21
C,2017-01-18,C  K7,1,372.25,0.002682764855181433,2017-04-21
C,2017-01-19,C  K7,1,373.25,0.00800537964378563,2017-04-21
C,2017-01-22,C  K7,1,376.25,0.000664231176862766,2017-04-21
C,2017-01-23,C  K7,1,376.5,-0.016064602503806674,2017-04-21
C,2017-01-24,C  K7,1,370.5,0.008064559836730495,2017-04-21
C,2017-01-25,C  K7,1,373.5,-0.00671594196543683,2017-04-21
C,2017-01-26,C  K7,1,371.0,-0.003374961016525935,2017-04-21
C,2017-01-29,C  K7,1,369.75,-0.012929748008417634,2017-04-21
C,2017-01-30,C  K7,1,365.0,0.005464494472078745,2017-04-21
C,2017-01-31,C  K7,1,367.0,0.0235621805785137,2017-04-21
C,2017-02-01,C  K7,1,375.75,-0.0019980026626731087,2017-04-21
C,2017-02-02,C  K7,1,375.0,-0.006018072325563021,2017-04-21
C,2017-02-05,C  K7,1,372.75,-0.004032263527938451,2017-04-21
C,2017-02-06,C  K7,1,371.25,0.01271345327298515,2017-04-21
C,2017-02-07,C  K7,1,376.0,0.006626929487608858,2017-04-21
C,2017-02-08,C  K7,1,378.5,-0.0033079752295451367,2017-04-21
C,2017-02-09,C  K7,1,377.25,0.012512510958616952,2017-04-21
C,2017-02-12,C  K7,1,382.0,0.0019614259312179068,2017-04-21
C,2017-02-13,C  K7,1,382.75,-0.00261609043905128,2017-04-21
C,2017-02-14,C  K7,1,381.75,0.01107142536608913,2017-04-21
C,2017-02-15,C  K7,1,386.0,-0.013037994338129943,2017-04-21
C,2017-02-16,C  K7,1,381.0,-0.014540903922511578,2017-04-21
C,2017-02-19,C  K7,1,375.5,0.0,2017-04-21
C,2017-02-20,C  K7,1,375.5,0.002659576035758796,2017-04-21
C,2017-02-21,C  K7,1,376.5,0.004637305428517028,2017-04-21
C,2017-02-22,C  K7,1,378.25,-0.015318314848851045,2017-04-21
C,2017-02-23,C  K7,1,372.5,-0.004709056801572757,2017-04-21
C,2017-01-01,C  N7,2,364.25,0.0,2017-06-23
C,2017-01-02,C  N7,2,364.25,0.010921610267425488,2017-06-23
C,2017-01-03,C  N7,2,368.25,0.010803616221378811,2017-06-23
C,2017-01-04,C  N7,2,372.25,0.005358351735619436,2017-06-23
C,2017-01-05,C  N7,2,374.25,-0.007375159141923853,2017-06-23
C,2017-01-08,C  N7,2,371.5,0.00670693325671808,2017-06-23
C,2017-01-09,C  N7,2,374.0,-0.004018759594917744,2017-06-23
C,2017-01-10,C  N7,2,372.5,-0.0040349752121791056,2017-06-23
C,2017-01-11,C  N7,2,371.0,0.002019522732829212,2017-06-23
C,2017-01-12,C  N7,2,371.75,0.0020154524793497075,2017-06-23
C,2017-01-15,C  N7,2,372.5,0.0,2017-06-23
C,2017-01-16,C  N7,2,372.5,0.01993421490081733,2017-06-23
C,2017-01-17,C  N7,2,380.0,-0.001975634491789858,2017-06-23
C,2017-01-18,C  N7,2,379.25,0.0019756344917899334,2017-06-23
C,2017-01-19,C  N7,2,380.0,0.007863736460214451,2017-06-23
C,2017-01-22,C  N7,2,383.0,0.0006525285712774368,2017-06-23
C,2017-01-23,C  N7,2,383.25,-0.015116949062844168,2017-06-23
C,2017-01-24,C  N7,2,377.5,0.008572423086191907,2017-06-23
C,2017-01-25,C  N7,2,380.75,-0.007248796155683519,2017-06-23
C,2017-01-26,C  N7,2,378.0,-0.003976148379639406,2017-06-23
C,2017-01-29,C  N7,2,376.5,-0.0120241929668017,2017-06-23
C,2017-01-30,C  N7,2,372.0,0.004693270431749567,2017-06-23
C,2017-01-31,C  N7,2,373.75,0.02379490983289685,2017-06-23
C,2017-02-01,C  N7,2,382.75,-0.001961425931217951,2017-06-23
C,2017-02-02,C  N7,2,382.0,-0.005907467130692916,2017-06-23
C,2017-02-05,C  N7,2,379.75,-0.00395778880741692,2017-06-23
C,2017-02-06,C  N7,2,378.25,0.013132165083458252,2017-06-23
C,2017-02-07,C  N7,2,383.25,0.005853675251460728,2017-06-23
C,2017-02-08,C  N7,2,385.5,-0.003898640415657309,2017-06-23
C,2017-02-09,C  N7,2,384.0,0.012293910905717105,2017-06-23
C,2017-02-12,C  N7,2,388.75,0.0012853472206637193,2017-06-23
C,2017-02-13,C  N7,2,389.25,-0.001928640906405597,2017-06-23
C,2017-02-14,C  N7,2,388.5,0.010243367414761045,2017-06-23
C,2017-02-15,C  N7,2,392.5,-0.012175735165814916,2017-06-23
C,2017-02-16,C  N7,2,387.75,-0.013632148790057644,2017-06-23
C,2017-02-19,C  N7,2,382.5,0.0,2017-06-23
C,2017-02-20,C  N7,2,382.5,0.0032626456348163694,2017-06-23
C,2017-02-21,C  N7,2,383.75,0.004549894101977361,2017-06-23
C,2017-02-22,C  N7,2,385.5,-0.01502805152750189,2017-06-23
C,2017-02-23,C  N7,2,379.75,-0.00395778880741692,2017-06-23
C,2017-01-01,C  U7,3,371.25,0.0,2017-08-25
C,2017-01-02,C  U7,3,371.25,0.010050335853501506,2017-08-25
C,2017-01-03,C  U7,3,375.0,0.010610179112015469,2017-08-25
C,2017-01-04,C  U7,3,379.0,0.004606786692844826,2017-08-25
C,2017-01-05,C  U7,3,380.75,-0.007910390622422207,2017-08-25
C,2017-01-08,C  U7,3,377.75,0.006596329986553309,2017-08-25
C,2017-01-09,C  U7,3,380.25,-0.0032927260569758678,2017-08-25
C,2017-01-10,C  U7,3,379.0,-0.0026420094628386965,2017-08-25
