underlying_id,value_date,settle_value
CT N7,1/1/2017,71.38
CT N7,1/3/2017,72.46
CT N7,1/4/2017,74.47
CT N7,1/5/2017,74.06
CT N7,1/8/2017,74.53
CT N7,1/9/2017,73.88
CT N7,1/10/2017,74.09
CT N7,1/11/2017,74.17
CT N7,1/12/2017,73.38
CT N7,1/15/2017,73.27
CT N7,1/16/2017,73.27
CT N7,1/17/2017,73.07
CT N7,1/18/2017,73.25
CT N7,1/19/2017,73.81
CT N7,1/22/2017,74.25
CT N7,1/23/2017,75.65
CT N7,1/24/2017,75.02
CT N7,1/25/2017,75.14
CT N7,1/26/2017,75.25
CT N7,1/29/2017,75.9
CT N7,1/30/2017,75.44
CT N7,1/31/2017,76.16
CT N7,2/1/2017,77.57
CT N7,2/2/2017,78.18
CT N7,2/5/2017,77.77
CT N7,2/6/2017,77.11
CT N7,2/7/2017,76.95
CT N7,2/8/2017,77.21
CT N7,2/9/2017,77.41
CT N7,2/12/2017,77.94
CT N7,2/13/2017,79.05
CT N7,2/14/2017,78.73
CT N7,2/15/2017,78
CT N7,2/16/2017,77.6
CT N7,2/19/2017,76.47
CT N7,2/20/2017,76.47
CT N7,2/21/2017,76.71
CT N7,2/22/2017,76.52
CT N7,2/23/2017,76.92
CT N7,2/26/2017,77.5
CT N7,2/27/2017,77.27
CT N7,2/28/2017,77.48
CT N7,3/1/2017,78.73
CT N7,3/2/2017,77.86
CT N7,3/5/2017,78.83
CT N7,3/6/2017,79.97
CT N7,3/7/2017,78.99
CT N7,3/8/2017,79.03
CT N7,3/9/2017,78.89
CT N7,3/12/2017,78.37
CT N7,3/13/2017,77.86
CT N7,3/14/2017,78.19
CT N7,3/15/2017,79.09
CT N7,3/16/2017,79.12
CT N7,3/19/2017,79.38
CT N7,3/20/2017,78.54
CT N7,3/21/2017,78.09
CT N7,3/22/2017,78.5
CT N7,3/23/2017,78.48
CT N7,3/26/2017,78.74
CT N7,3/27/2017,78.31
CT N7,3/28/2017,78.28
CT N7,3/29/2017,77.63
CT N7,3/30/2017,77.6
CT N7,4/2/2017,78.59
